variant_name,node_id,canonical_name,full_graph_rank,stress_graph_rank,rank_delta,full_weighted_degree,stress_weighted_degree,degree_delta,full_betweenness,stress_betweenness,betweenness_delta
repayment_pressure_graph,actor_l_lucullus,L. Lucullus,73,28,45,3,3,0.0,0.000022,0.000146,0.000124
repayment_pressure_graph,actor_l_pontius,L. Pontius,74,29,45,3,3,0.0,0.000022,0.000146,0.000124
repayment_pressure_graph,actor_p_scipio,P. Scipio,75,30,45,3,3,0.0,0.000022,0.000146,0.000124
repayment_pressure_graph,actor_c_fufius,C. Fufius,62,31,31,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_m_fufius,M. Fufius,63,32,31,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_mylasa_and_alabanda,Mylasa and Alabanda,94,33,61,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_procuratores,procuratores,95,34,61,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_tullia_s_creditors,Tullia's creditors,88,35,53,3,3,0.0,0.000000,0.000292,0.000292
repayment_pressure_graph,actor_cluvius_procurators,Cluvius procurators,65,36,29,3,2,-1.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_minucius_thermus,Minucius Thermus,100,37,63,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_silius,Silius,17,38,-21,6,2,-4.0,0.000221,0.000000,-0.000221
repayment_pressure_graph,actor_appius_claudius,Appius Claudius,101,39,62,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_matinius,Matinius,102,40,62,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_scaptius,Scaptius,103,41,62,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_cocceius,Cocceius,112,42,70,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_flaminius,Flaminius,57,43,14,4,2,-2.0,0.003170,0.000000,-0.003170
repayment_pressure_graph,actor_tiro,Tiro,4,44,-40,13,2,-11.0,0.005277,0.000000,-0.005277
repayment_pressure_graph,actor_varro,Varro,113,45,68,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_cn_sallustius,Cn. Sallustius,115,46,69,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_appuleius,Appuleius,105,47,58,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_tullia,Tullia,53,48,5,5,2,-3.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_camillus,Camillus,64,49,15,4,2,-2.0,0.000047,0.000000,-0.000047
repayment_pressure_graph,actor_faberius,Faberius,21,50,-29,6,2,-4.0,0.000221,0.000000,-0.000221
repayment_pressure_graph,actor_q_axius_son,Q. Axius' son,118,51,67,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_scribonius_libo,Scribonius Libo,119,52,67,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_numerius_of_puteoli,Numerius of Puteoli,129,53,76,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_l_ligus,L. Ligus,122,54,68,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_pomponia,Pomponia,123,55,68,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_q_titinius,Q. Titinius,124,56,68,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_l_tullius_montanus,L. Tullius Montanus,82,57,25,3,1,-2.0,0.000118,0.000000,-0.000118
repayment_pressure_graph,actor_caelius,Caelius,67,58,9,3,1,-2.0,0.010331,0.000000,-0.010331
repayment_pressure_graph,actor_caesar,Caesar,10,59,-49,6,1,-5.0,0.023538,0.000000,-0.023538
repayment_pressure_graph,actor_publilius,Publilius,93,60,33,3,1,-2.0,0.000000,0.000000,0.000000
stress_context_graph,actor_cicero,Cicero,1,1,0,129,82,-47.0,0.546355,0.470371,-0.075984
stress_context_graph,actor_atticus,Atticus,2,2,0,45,37,-8.0,0.057619,0.152426,0.094807
stress_context_graph,actor_quintus_cicero,Quintus Cicero,3,3,0,22,16,-6.0,0.021426,0.085116,0.063690
stress_context_graph,actor_tiro,Tiro,4,4,0,13,11,-2.0,0.005277,0.036811,0.031533
stress_context_graph,actor_brutus,Brutus,5,5,0,9,7,-2.0,0.035806,0.042774,0.006968
stress_context_graph,actor_egnatius,Egnatius,7,6,1,9,8,-1.0,0.014212,0.030181,0.015969
stress_context_graph,actor_eros,Eros,8,7,1,8,8,0.0,0.000603,0.027753,0.027149
stress_context_graph,actor_hermippus,Hermippus,20,8,12,3,3,0.0,0.000044,0.000387,0.000343
stress_context_graph,actor_cluvius,Cluvius,6,9,-3,8,6,-2.0,0.050464,0.060194,0.009730
stress_context_graph,actor_verres,Verres,12,10,2,4,4,0.0,0.000383,0.000710,0.000327
stress_context_graph,actor_d_iunius_brutus,D. Iunius Brutus,27,11,16,2,2,0.0,0.000000,0.000129,0.000129
stress_context_graph,actor_sex_naevius,Sex. Naevius,32,12,20,2,2,0.0,0.000000,0.000129,0.000129
stress_context_graph,actor_terentia,Terentia,13,13,0,7,6,-1.0,0.004542,0.019652,0.015110
stress_context_graph,actor_caerellia,Caerellia,14,14,0,6,5,-1.0,0.010515,0.013032,0.002517
stress_context_graph,actor_roman_state_grain_funds,Roman state grain funds,51,15,36,3,3,0.0,0.000029,0.000194,0.000164
stress_context_graph,actor_faberius,Faberius,21,16,5,6,5,-1.0,0.000221,0.002602,0.002381
stress_context_graph,actor_salamis,Salamis,18,17,1,5,4,-1.0,0.014702,0.017419,0.002717
stress_context_graph,actor_tullia,Tullia,53,18,35,5,5,0.0,0.000000,0.003108,0.003108
stress_context_graph,actor_marc_antony,Marc Antony,47,19,28,4,3,-1.0,0.007691,0.036645,0.028954
stress_context_graph,actor_silius,Silius,17,20,-3,6,4,-2.0,0.000221,0.000387,0.000166
stress_context_graph,actor_q_axius,Q. Axius,48,21,27,5,4,-1.0,0.000221,0.012682,0.012461
stress_context_graph,actor_pompey,Pompey,16,22,-6,5,3,-2.0,0.020648,0.020742,0.000094
stress_context_graph,actor_a_caninius_satyrus,A. Caninius Satyrus,25,23,2,4,3,-1.0,0.000088,0.000129,0.000041
stress_context_graph,actor_caecilius,Caecilius,11,24,-13,6,3,-3.0,0.050000,0.000129,-0.049871
