variant_name,centrality_rank,node_id,canonical_name,weighted_degree,direct_edge_degree,context_edge_degree,component_size,pagerank,betweenness
repayment_pressure_graph,18,actor_sex_naevius,Sex. Naevius,2,0,2,3,0.016666666666666666,0.0
repayment_pressure_graph,19,actor_crassus,Crassus,1,1,0,2,0.016666666666666666,0.0
repayment_pressure_graph,20,actor_crassus_amici,Crassus' amici,1,1,0,2,0.016666666666666666,0.0
repayment_pressure_graph,21,actor_dolabella,Dolabella,4,2,2,39,0.01597693926705305,0.0002922267679719462
repayment_pressure_graph,22,actor_philotimus,Philotimus,4,2,2,39,0.015976939267053045,0.0002922267679719462
repayment_pressure_graph,23,actor_q_axius,Q. Axius,4,0,4,39,0.015909910041580475,0.0014611338398597311
repayment_pressure_graph,24,actor_terentia,Terentia,3,0,3,39,0.015836554665388813,0.021624780829924018
repayment_pressure_graph,25,actor_p_sallustius,P. Sallustius,3,1,2,39,0.014486557109151444,0.0005844535359438924
repayment_pressure_graph,26,actor_nicaea,Nicaea,3,1,2,39,0.014407481402847599,0.010520163646990063
repayment_pressure_graph,27,actor_young_t_pinnius,young T. Pinnius,3,1,2,39,0.014407481402847599,0.010520163646990063
repayment_pressure_graph,28,actor_l_lucullus,L. Lucullus,3,0,3,6,0.013932063173791892,0.0001461133839859731
repayment_pressure_graph,29,actor_l_pontius,L. Pontius,3,0,3,6,0.013932063173791892,0.0001461133839859731
repayment_pressure_graph,30,actor_p_scipio,P. Scipio,3,0,3,6,0.013932063173791892,0.0001461133839859731
repayment_pressure_graph,31,actor_c_fufius,C. Fufius,2,1,1,4,0.013652482269504941,0.0
repayment_pressure_graph,32,actor_m_fufius,M. Fufius,2,1,1,4,0.013652482269504941,0.0
repayment_pressure_graph,33,actor_mylasa_and_alabanda,Mylasa and Alabanda,2,1,1,6,0.013142922671717419,0.0
repayment_pressure_graph,34,actor_procuratores,procuratores,2,0,2,6,0.013142922671717419,0.0
repayment_pressure_graph,35,actor_tullia_s_creditors,Tullia's creditors,3,1,2,39,0.012779871558445236,0.0002922267679719462
repayment_pressure_graph,36,actor_cluvius_procurators,Cluvius procurators,2,0,2,6,0.01277503625225693,0.0
repayment_pressure_graph,37,actor_minucius_thermus,Minucius Thermus,2,0,2,6,0.01277503625225693,0.0
repayment_pressure_graph,38,actor_silius,Silius,2,0,2,39,0.010664239452727445,0.0
repayment_pressure_graph,39,actor_appius_claudius,Appius Claudius,2,0,2,39,0.01020085869725882,0.0
repayment_pressure_graph,40,actor_matinius,Matinius,2,0,2,39,0.01020085869725882,0.0
repayment_pressure_graph,41,actor_scaptius,Scaptius,2,0,2,39,0.01020085869725882,0.0
repayment_pressure_graph,42,actor_cocceius,Cocceius,2,1,1,39,0.01007488680198621,0.0
repayment_pressure_graph,43,actor_flaminius,Flaminius,2,1,1,39,0.01007488680198621,0.0
repayment_pressure_graph,44,actor_tiro,Tiro,2,0,2,39,0.01007488680198621,0.0
repayment_pressure_graph,45,actor_varro,Varro,2,0,2,39,0.01007488680198621,0.0
repayment_pressure_graph,46,actor_cn_sallustius,Cn. Sallustius,2,0,2,39,0.009897584424737007,0.0
repayment_pressure_graph,47,actor_appuleius,Appuleius,2,0,2,39,0.009887925071368226,0.0
repayment_pressure_graph,48,actor_tullia,Tullia,2,0,2,39,0.009414023518390834,0.0
repayment_pressure_graph,49,actor_camillus,Camillus,2,0,2,39,0.009188159504836346,0.0
repayment_pressure_graph,50,actor_faberius,Faberius,2,0,2,39,0.009188159504836346,0.0
repayment_pressure_graph,51,actor_q_axius_son,Q. Axius' son,2,1,1,39,0.009173915792656662,0.0
repayment_pressure_graph,52,actor_scribonius_libo,Scribonius Libo,2,1,1,39,0.008950583788265371,0.0
repayment_pressure_graph,53,actor_numerius_of_puteoli,Numerius of Puteoli,2,1,1,39,0.008778911566677665,0.0
repayment_pressure_graph,54,actor_l_ligus,L. Ligus,2,0,2,39,0.008717935919895075,0.0
repayment_pressure_graph,55,actor_pomponia,Pomponia,2,0,2,39,0.008717935919895075,0.0
repayment_pressure_graph,56,actor_q_titinius,Q. Titinius,2,0,2,39,0.008717935919895075,0.0
repayment_pressure_graph,57,actor_l_tullius_montanus,L. Tullius Montanus,1,0,1,39,0.006987023817878841,0.0
repayment_pressure_graph,58,actor_caelius,Caelius,1,0,1,39,0.005793059914124224,0.0
repayment_pressure_graph,59,actor_caesar,Caesar,1,1,0,39,0.005793059914124224,0.0
repayment_pressure_graph,60,actor_publilius,Publilius,1,1,0,39,0.005793059914124224,0.0
stress_direct_only_graph,1,actor_cicero,Cicero,36,36,0,37,0.1636124260352101,0.17269076305220882
stress_direct_only_graph,2,actor_atticus,Atticus,8,8,0,37,0.034798445328567365,0.061388410786001144
stress_direct_only_graph,3,actor_quintus_cicero,Quintus Cicero,6,6,0,37,0.029236608066375444,0.03843947217441193
stress_direct_only_graph,4,actor_brutus,Brutus,2,2,0,3,0.01716851255984638,0.00028686173264486515
stress_direct_only_graph,5,actor_caecilius,Caecilius,2,2,0,3,0.01716851255984638,0.00028686173264486515
