dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,terminal_status,proposal_count,channels,valid_proposal_count,fully_authorizing_proposal_count,authorizing_proposal_id,authorizing_endpoint_a_occurrence_id,authorizing_endpoint_b_occurrence_id,authorizing_endpoint_a_authority,authorizing_endpoint_b_authority,authorizing_endpoint_a_reason,authorizing_endpoint_b_reason,edge_probability_p
DYAD-bf531e6c66dcc842,ACT-AURELIUS,ACT-PATULCIUS,surviving_candidate,1,financial_shared_neighbor,1,1,3df12192e887c17a0d90852056fe7491a27d096aa71c2c8dfa94a9f4ed038e41,OCC-FAM-PILOT-0004-LENDER-02,OCC-SEC-STAGED-0076-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675
DYAD-5feee60fa8077aa0,ACT-AURELIUS,ACT-PUBLILIUS,surviving_candidate,2,financial_shared_neighbor,2,2,3276c251eb8759b93ceb2960374a7ee61192be37cd5a2f05e0e12e74af43246b,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0030-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.476497856039
DYAD-b96742a6859ec15c,ACT-AURELIUS,ACT-SCRIBONIUS-LIBO,surviving_candidate,1,financial_shared_neighbor,1,1,9a301ad80b57547fb7622a52e18c5a0a535aec5e27aee971173518414179442e,OCC-FAM-PILOT-0004-LENDER-02,OCC-SEC-STAGED-0038-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.539814250494
DYAD-69c289c83cce46bf,ACT-AURELIUS,ACT-SILIUS,surviving_candidate,2,financial_shared_neighbor,2,2,30e3efd531a36bfcd213cb84c0f58973043f5eca410182ad0e01d9507fec3328,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0011-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.476497856039
DYAD-4a02464e6f8509e3,ACT-AURELIUS,ACT-TERENTIA,surviving_candidate,1,financial_shared_neighbor,1,1,25a02c91ec9e9ca37700d5b1fd99d60912e3e182f5abaaf55eb4f085588f9874,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0036-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675
DYAD-5ca039e9f1f0a365,ACT-AURELIUS,ACT-TIRO,already_observed,5,financial_shared_neighbor;within_component,5,5,04e681f6e4fe2e7600403394052898aecff3548cc7dfa2d3fbfe5b4b5ab3f79d,OCC-FAM-PILOT-0004-LENDER-02,OCC-FAM-PILOT-0004-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-8ea9028d5e7b5c14,ACT-AURELIUS,ACT-VARRO,unauthorized_candidate_basis,1,financial_shared_neighbor,0,0,,,,,,,,0
DYAD-6abb48a0b27713f0,ACT-AURELIUS,PLH-02dd7626e090cce8,placeholder_endpoint,1,financial_shared_neighbor,1,0,,,,,,,,0
DYAD-047bce49b39b9812,ACT-AURELIUS,PLH-3867621eca95f356,placeholder_endpoint,1,financial_shared_neighbor,1,0,,,,,,,,0
DYAD-ea44cb67f68a7baf,ACT-AURELIUS,PLH-de958647944ebc7a,placeholder_endpoint,2,financial_shared_neighbor,2,0,,,,,,,,0
DYAD-465506da2adaf28b,ACT-AURELIUS,PLH-e6ace6b73e88d8db,placeholder_endpoint,1,financial_shared_neighbor,0,0,,,,,,,,0
DYAD-d5a73ae5d8183842,ACT-CAERELLIA,ACT-CICERO,already_observed,8,financial_shared_neighbor;within_component,8,8,7bf4e2afaf825a225998a60bdb10eaf48b75dd36dea7e341d499378b11d4e162,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0026-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-b4d6cd5ffced7f44,ACT-CAERELLIA,ACT-CLUVIAN-COHEIRS,surviving_candidate,1,financial_shared_neighbor,1,1,b94d71e428281349438d2c7b39d41d3ae05ff9c07622eedcdb3471f8ee1b20aa,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0017-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622
DYAD-f0b76422b62cca04,ACT-CAERELLIA,ACT-COCCEIUS,surviving_candidate,1,financial_shared_neighbor,1,1,10bdf9224964ad088a161ae91d38f6c343760a016b37c5b2d37ebe3d8692700d,OCC-ATT-PILOT-0026-LENDER-01,OCC-SEC-STAGED-0053-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.512142613665
